,NationalPokedexNumber,Name,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Variant,image_url
195,148,Dragonair,1,Common,Dragon,,420,61,84,65,70,70,70,,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
196,149,Dragonite,1,Common,Dragon,Flying,600,91,134,95,100,100,80,,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
197,150,Mewtwo,1,Legendary,Psychic,,680,106,110,90,154,90,130,,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
198,150,Mewtwo,1,Legendary,Psychic,Fighting,780,106,190,100,154,100,130,Mega Mewtwo X,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
199,150,Mewtwo,1,Legendary,Psychic,,780,106,150,70,194,120,140,Mega Mewtwo Y,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
200,151,Mew,1,Mythical,Psychic,,600,100,100,100,100,100,100,,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
201,152,Chikorita,2,Common,Grass,,318,45,49,65,49,65,45,,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
202,153,Bayleef,2,Common,Grass,,405,60,62,80,63,80,60,,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
203,154,Meganium,2,Common,Grass,,525,80,82,100,83,100,80,,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
204,155,Cyndaquil,2,Common,Fire,,309,39,52,43,60,50,65,,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
205,156,Quilava,2,Common,Fire,,405,58,64,58,80,65,80,,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
206,157,Typhlosion,2,Common,Fire,,534,78,84,78,109,85,100,,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
207,157,Typhlosion,2,Common,Fire,Ghost,534,73,84,78,119,85,95,Hisuian Typhlosion,https://img.pokemondb.net/s.png
208,158,Totodile,2,Common,Water,,314,50,65,64,44,48,43,,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
209,159,Croconaw,2,Common,Water,,405,65,80,80,59,63,58,,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
210,160,Feraligatr,2,Common,Water,,530,85,105,100,79,83,78,,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
211,161,Sentret,2,Common,Normal,,215,35,46,34,35,45,20,,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
212,162,Furret,2,Common,Normal,,415,85,76,64,45,55,90,,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
213,163,Hoothoot,2,Common,Normal,Flying,262,60,30,30,36,56,50,,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
214,164,Noctowl,2,Common,Normal,Flying,452,100,50,50,86,96,70,,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
215,165,Ledyba,2,Common,Bug,Flying,265,40,20,30,40,80,55,,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
216,166,Ledian,2,Common,Bug,Flying,390,55,35,50,55,110,85,,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
217,167,Spinarak,2,Common,Bug,Poison,250,40,60,40,40,40,30,,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
218,168,Ariados,2,Common,Bug,Poison,400,70,90,70,60,70,40,,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
219,169,Crobat,2,Common,Poison,Flying,535,85,90,80,70,80,130,,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
220,170,Chinchou,2,Common,Water,Electric,330,75,38,38,56,56,67,,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
221,171,Lanturn,2,Common,Water,Electric,460,125,58,58,76,76,67,,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
222,172,Pichu,2,Baby,Electric,,205,20,40,15,35,35,60,,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
223,173,Cleffa,2,Baby,Fairy,,218,50,25,28,45,55,15,,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
224,174,Igglybuff,2,Baby,Normal,Fairy,210,90,30,15,40,20,15,,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
225,175,Togepi,2,Baby,Fairy,,245,35,20,65,40,65,20,,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
226,176,Togetic,2,Common,Fairy,Flying,405,55,40,85,80,105,40,,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
227,177,Natu,2,Common,Psychic,Flying,320,40,50,45,70,45,70,,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
228,178,Xatu,2,Common,Psychic,Flying,470,65,75,70,95,70,95,,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
229,179,Mareep,2,Common,Electric,,280,55,40,40,65,45,35,,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
230,180,Flaaffy,2,Common,Electric,,365,70,55,55,80,60,45,,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
231,181,Ampharos,2,Common,Electric,,510,90,75,85,115,90,55,,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
232,181,Ampharos,2,Common,Electric,Dragon,610,90,95,105,165,110,45,Mega Ampharos,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
233,182,Bellossom,2,Common,Grass,,490,75,80,95,90,100,50,,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
234,183,Marill,2,Common,Water,Fairy,250,70,20,50,20,50,40,,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
235,184,Azumarill,2,Common,Water,Fairy,420,100,50,80,60,80,50,,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
236,185,Sudowoodo,2,Common,Rock,,410,70,100,115,30,65,30,,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
237,186,Politoed,2,Common,Water,,500,90,75,75,90,100,70,,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
238,187,Hoppip,2,Common,Grass,Flying,250,35,35,40,35,55,50,,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
239,188,Skiploom,2,Common,Grass,Flying,340,55,45,50,45,65,80,,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
240,189,Jumpluff,2,Common,Grass,Flying,460,75,55,70,55,95,110,,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
241,190,Aipom,2,Common,Normal,,360,55,70,55,40,55,85,,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
242,191,Sunkern,2,Common,Grass,,180,30,30,30,30,30,30,,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
243,192,Sunflora,2,Common,Grass,,425,75,75,55,105,85,30,,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
244,193,Yanma,2,Common,Bug,Flying,390,65,65,45,75,45,95,,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
245,194,Wooper,2,Common,Water,Ground,210,55,45,45,25,25,15,,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
246,195,Quagsire,2,Common,Water,Ground,430,95,85,85,65,65,35,,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
247,196,Espeon,2,Common,Psychic,,525,65,65,60,130,95,110,,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
248,197,Umbreon,2,Common,Dark,,525,95,65,110,60,130,65,,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
249,198,Murkrow,2,Common,Dark,Flying,405,60,85,42,85,42,91,,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
250,199,Slowking,2,Common,Water,Psychic,490,95,75,80,100,110,30,,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
251,199,Slowking,2,Common,Poison,Psychic,490,95,65,80,110,110,30,Galarian Slowking,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png
252,200,Misdreavus,2,Common,Ghost,,435,60,60,60,85,85,85,,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
253,201,Unown,2,Common,Psychic,,336,48,72,48,72,48,48,,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
254,202,Wobbuffet,2,Common,Psychic,,405,190,33,58,33,58,33,,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
255,203,Girafarig,2,Common,Normal,Psychic,455,70,80,65,90,65,85,,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
256,204,Pineco,2,Common,Bug,,290,50,65,90,35,35,15,,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
257,205,Forretress,2,Common,Bug,Steel,465,75,90,140,60,60,40,,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
258,206,Dunsparce,2,Common,Normal,,415,100,70,70,65,65,45,,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
259,207,Gligar,2,Common,Ground,Flying,430,65,75,105,35,65,85,,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
260,208,Steelix,2,Common,Steel,Ground,510,75,85,200,55,65,30,,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
261,208,Steelix,2,Common,Steel,Ground,610,75,125,230,55,95,30,Mega Steelix,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png
262,209,Snubbull,2,Common,Fairy,,300,60,80,50,40,40,30,,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
263,210,Granbull,2,Common,Fairy,,450,90,120,75,60,60,45,,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
264,211,Qwilfish,2,Common,Water,Poison,440,65,95,85,55,55,85,,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
265,211,Qwilfish,2,Common,Dark,Poison,440,65,95,85,55,55,85,Hisuian Qwilfish,https://img.pokemondb.net/s.png
266,212,Scizor,2,Common,Bug,Steel,500,70,130,100,55,80,65,,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
267,212,Scizor,2,Common,Bug,Steel,600,70,150,140,65,100,75,Mega Scizor,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png
268,213,Shuckle,2,Common,Bug,Rock,505,20,10,230,10,230,5,,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
269,214,Heracross,2,Common,Bug,Fighting,500,80,125,75,40,95,85,,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
270,214,Heracross,2,Common,Bug,Fighting,600,80,185,115,40,105,75,Mega Heracross,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png
271,215,Sneasel,2,Common,Dark,Ice,430,55,95,55,35,75,115,,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png
272,215,Sneasel,2,Common,Poison,Fighting,430,55,95,55,35,75,115,Hisuian Sneasel,https://img.pokemondb.net/s.png
273,216,Teddiursa,2,Common,Normal,,330,60,80,50,50,50,40,,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png
274,217,Ursaring,2,Common,Normal,,500,90,130,75,75,75,55,,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png
275,218,Slugma,2,Common,Fire,,250,40,40,40,70,40,20,,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png
276,219,Magcargo,2,Common,Fire,Rock,430,60,50,120,90,80,30,,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png
277,220,Swinub,2,Common,Ice,Ground,250,50,50,40,30,30,50,,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png
278,221,Piloswine,2,Common,Ice,Ground,450,100,100,80,60,60,50,,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png
279,222,Corsola,2,Common,Water,Rock,410,65,55,95,65,95,35,,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png
280,222,Corsola,2,Common,Ghost,,410,60,55,100,65,100,30,Galarian Corsola,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png
281,223,Remoraid,2,Common,Water,,300,35,65,35,65,35,65,,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png
282,224,Octillery,2,Common,Water,,480,75,105,75,105,75,45,,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png
283,225,Delibird,2,Common,Ice,Flying,330,45,55,45,65,45,75,,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png
284,226,Mantine,2,Common,Water,Flying,485,85,40,70,80,140,70,,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png
285,227,Skarmory,2,Common,Steel,Flying,465,65,80,140,40,70,70,,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png
286,228,Houndour,2,Common,Dark,Fire,330,45,60,30,80,50,65,,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png
287,229,Houndoom,2,Common,Dark,Fire,500,75,90,50,110,80,95,,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png
288,229,Houndoom,2,Common,Dark,Fire,600,75,90,90,140,90,115,Mega Houndoom,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png
289,230,Kingdra,2,Common,Water,Dragon,540,75,95,95,95,95,85,,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png
290,231,Phanpy,2,Common,Ground,,330,90,60,60,40,40,40,,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png
291,232,Donphan,2,Common,Ground,,500,90,120,120,60,60,50,,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png
292,233,Porygon2,2,Common,Normal,,515,85,80,90,105,95,60,,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png
293,234,Stantler,2,Common,Normal,,465,73,95,62,85,65,85,,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png
294,235,Smeargle,2,Common,Normal,,250,55,20,35,20,45,75,,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png
295,236,Tyrogue,2,Baby,Fighting,,210,35,35,35,35,35,35,,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png
296,237,Hitmontop,2,Common,Fighting,,455,50,95,95,35,110,70,,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png
297,238,Smoochum,2,Baby,Ice,Psychic,305,45,30,15,85,65,65,,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png
298,239,Elekid,2,Baby,Electric,,360,45,63,37,65,55,95,,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png
299,240,Magby,2,Baby,Fire,,365,45,75,37,70,55,83,,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png
300,241,Miltank,2,Common,Normal,,490,95,80,105,40,70,100,,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png
301,242,Blissey,2,Common,Normal,,540,255,10,10,75,135,55,,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png
302,243,Raikou,2,Legendary,Electric,,580,90,85,75,115,100,115,,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png
303,244,Entei,2,Legendary,Fire,,580,115,115,85,90,75,100,,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png
304,245,Suicune,2,Legendary,Water,,580,100,75,115,90,115,85,,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png
305,246,Larvitar,2,Common,Rock,Ground,300,50,64,50,45,50,41,,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png
306,247,Pupitar,2,Common,Rock,Ground,410,70,84,70,65,70,51,,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png
307,248,Tyranitar,2,Common,Rock,Dark,600,100,134,110,95,100,61,,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png
308,248,Tyranitar,2,Common,Rock,Dark,700,100,164,150,95,120,71,Mega Tyranitar,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png
309,249,Lugia,2,Legendary,Psychic,Flying,680,106,90,130,90,154,110,,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png
310,250,Ho-oh,2,Legendary,Fire,Flying,680,106,130,90,110,154,90,,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png
311,251,Celebi,2,Mythical,Psychic,Grass,600,100,100,100,100,100,100,,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png
312,252,Treecko,3,Common,Grass,,310,40,45,35,65,55,70,,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png
313,253,Grovyle,3,Common,Grass,,405,50,65,45,85,65,95,,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png
314,254,Sceptile,3,Common,Grass,,530,70,85,65,105,85,120,,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png
315,254,Sceptile,3,Common,Grass,Dragon,630,70,110,75,145,85,145,Mega Sceptile,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png
316,255,Torchic,3,Common,Fire,,310,45,60,40,70,50,45,,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png
317,256,Combusken,3,Common,Fire,Fighting,405,60,85,60,85,60,55,,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png
318,257,Blaziken,3,Common,Fire,Fighting,530,80,120,70,110,70,80,,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png
319,257,Blaziken,3,Common,Fire,Fighting,630,80,160,80,130,80,100,Mega Blaziken,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png
320,258,Mudkip,3,Common,Water,,310,50,70,50,50,50,40,,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png
321,259,Marshtomp,3,Common,Water,Ground,405,70,85,70,60,70,50,,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png
322,260,Swampert,3,Common,Water,Ground,535,100,110,90,85,90,60,,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png
323,260,Swampert,3,Common,Water,Ground,635,100,150,110,95,110,70,Mega Swampert,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png
324,261,Poochyena,3,Common,Dark,,220,35,55,35,30,30,35,,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png
325,262,Mightyena,3,Common,Dark,,420,70,90,70,60,60,70,,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png
326,263,Zigzagoon,3,Common,Normal,,240,38,30,41,30,41,60,,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png
327,263,Zigzagoon,3,Common,Dark,Normal,240,38,30,41,30,41,60,Galarian Zigzagoon,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png
328,264,Linoone,3,Common,Normal,,420,78,70,61,50,61,100,,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png
329,264,Linoone,3,Common,Dark,Normal,420,78,70,61,50,61,100,Galarian Linoone,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png
330,265,Wurmple,3,Common,Bug,,195,45,45,35,20,30,20,,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png
331,266,Silcoon,3,Common,Bug,,205,50,35,55,25,25,15,,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png
332,267,Beautifly,3,Common,Bug,Flying,395,60,70,50,100,50,65,,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png
333,268,Cascoon,3,Common,Bug,,205,50,35,55,25,25,15,,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png
334,269,Dustox,3,Common,Bug,Poison,385,60,50,70,50,90,65,,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png
335,270,Lotad,3,Common,Water,Grass,220,40,30,30,40,50,30,,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png
336,271,Lombre,3,Common,Water,Grass,340,60,50,50,60,70,50,,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png
337,272,Ludicolo,3,Common,Water,Grass,480,80,70,70,90,100,70,,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png
338,273,Seedot,3,Common,Grass,,220,40,40,50,30,30,30,,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png
339,274,Nuzleaf,3,Common,Grass,Dark,340,70,70,40,60,40,60,,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png
340,275,Shiftry,3,Common,Grass,Dark,480,90,100,60,90,60,80,,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png
341,276,Taillow,3,Common,Normal,Flying,270,40,55,30,30,30,85,,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png
342,277,Swellow,3,Common,Normal,Flying,455,60,85,60,75,50,125,,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png
343,278,Wingull,3,Common,Water,Flying,270,40,30,30,55,30,85,,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png
344,279,Pelipper,3,Common,Water,Flying,440,60,50,100,95,70,65,,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png
345,280,Ralts,3,Common,Psychic,Fairy,198,28,25,25,45,35,40,,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png
346,281,Kirlia,3,Common,Psychic,Fairy,278,38,35,35,65,55,50,,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png
347,282,Gardevoir,3,Common,Psychic,Fairy,518,68,65,65,125,115,80,,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png
348,282,Gardevoir,3,Common,Psychic,Fairy,618,68,85,65,165,135,100,Mega Gardevoir,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png
349,283,Surskit,3,Common,Bug,Water,269,40,30,32,50,52,65,,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png
350,284,Masquerain,3,Common,Bug,Flying,454,70,60,62,100,82,80,,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png
351,285,Shroomish,3,Common,Grass,,295,60,40,60,40,60,35,,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png
352,286,Breloom,3,Common,Grass,Fighting,460,60,130,80,60,60,70,,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png
353,287,Slakoth,3,Common,Normal,,280,60,60,60,35,35,30,,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png
354,288,Vigoroth,3,Common,Normal,,440,80,80,80,55,55,90,,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png
355,289,Slaking,3,Common,Normal,,670,150,160,100,95,65,100,,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png
356,290,Nincada,3,Common,Bug,Ground,266,31,45,90,30,30,40,,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png
357,291,Ninjask,3,Common,Bug,Flying,456,61,90,45,50,50,160,,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png
358,292,Shedinja,3,Common,Bug,Ghost,236,1,90,45,30,30,40,,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png
359,293,Whismur,3,Common,Normal,,240,64,51,23,51,23,28,,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png
360,294,Loudred,3,Common,Normal,,360,84,71,43,71,43,48,,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png
361,295,Exploud,3,Common,Normal,,490,104,91,63,91,73,68,,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png
362,296,Makuhita,3,Common,Fighting,,237,72,60,30,20,30,25,,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png
363,297,Hariyama,3,Common,Fighting,,474,144,120,60,40,60,50,,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png
364,298,Azurill,3,Baby,Normal,Fairy,190,50,20,40,20,40,20,,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png
365,299,Nosepass,3,Common,Rock,,375,30,45,135,45,90,30,,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png
366,300,Skitty,3,Common,Normal,,260,50,45,45,35,35,50,,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png
367,301,Delcatty,3,Common,Normal,,400,70,65,65,55,55,90,,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png
368,302,Sableye,3,Common,Dark,Ghost,380,50,75,75,65,65,50,,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png
369,302,Sableye,3,Common,Dark,Ghost,480,50,85,125,85,115,20,Mega Sableye,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png
370,303,Mawile,3,Common,Steel,Fairy,380,50,85,85,55,55,50,,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png
371,303,Mawile,3,Common,Steel,Fairy,480,50,105,125,55,95,50,Mega Mawile,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png
372,304,Aron,3,Common,Steel,Rock,330,50,70,100,40,40,30,,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png
373,305,Lairon,3,Common,Steel,Rock,430,60,90,140,50,50,40,,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png
374,306,Aggron,3,Common,Steel,Rock,530,70,110,180,60,60,50,,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png
375,306,Aggron,3,Common,Steel,,630,70,140,230,60,80,50,Mega Aggron,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png
376,307,Meditite,3,Common,Fighting,Psychic,280,30,40,55,40,55,60,,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png
377,308,Medicham,3,Common,Fighting,Psychic,410,60,60,75,60,75,80,,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png
378,308,Medicham,3,Common,Fighting,Psychic,510,60,100,85,80,85,100,Mega Medicham,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png
379,309,Electrike,3,Common,Electric,,295,40,45,40,65,40,65,,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png
380,310,Manectric,3,Common,Electric,,475,70,75,60,105,60,105,,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png
381,310,Manectric,3,Common,Electric,,575,70,75,80,135,80,135,Mega Manectric,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png
382,311,Plusle,3,Common,Electric,,405,60,50,40,85,75,95,,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png
383,312,Minun,3,Common,Electric,,405,60,40,50,75,85,95,,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png
384,313,Volbeat,3,Common,Bug,,430,65,73,75,47,85,85,,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png
385,314,Illumise,3,Common,Bug,,430,65,47,75,73,85,85,,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png
386,315,Roselia,3,Common,Grass,Poison,400,50,60,45,100,80,65,,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png
387,316,Gulpin,3,Common,Poison,,302,70,43,53,43,53,40,,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png
388,317,Swalot,3,Common,Poison,,467,100,73,83,73,83,55,,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png
389,318,Carvanha,3,Common,Water,Dark,305,45,90,20,65,20,65,,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png
390,319,Sharpedo,3,Common,Water,Dark,460,70,120,40,95,40,95,,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png
391,319,Sharpedo,3,Common,Water,Dark,560,70,140,70,110,65,105,Mega Sharpedo,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png
392,320,Wailmer,3,Common,Water,,400,130,70,35,70,35,60,,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png
393,321,Wailord,3,Common,Water,,500,170,90,45,90,45,60,,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png
394,322,Numel,3,Common,Fire,Ground,305,60,60,40,65,45,35,,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png
