,Nature,HP/Atk/Def/SpA/SpD/Spe,UsePercentage,Pokemon
1592,Timid,4/0/0/0/252/252,0.305%,Alcremie
1593,Timid,52/0/4/252/4/196,0.204%,Alcremie
1594,Bold,252/0/252/4/0/0,0.168%,Alcremie
1595,Timid,236/0/0/20/0/252,0.158%,Alcremie
1596,Timid,0/0/0/252/4/252,0.138%,Alcremie
1597,Timid,0/0/252/0/4/252,0.124%,Alcremie
1598,Timid,0/0/4/252/0/252,0.105%,Alcremie
1599,Calm,252/0/92/4/156/0,0.093%,Alcremie
1600,Adamant,28/196/12/0/36/236,44.445%,Tapu Koko
1601,Hasty,0/252/0/4/0/252,9.844%,Tapu Koko
1602,Modest,108/0/4/252/4/140,9.582%,Tapu Koko
1603,Jolly,0/252/0/0/4/252,8.591%,Tapu Koko
1604,Timid,0/0/0/252/4/252,5.433%,Tapu Koko
1605,Timid,124/0/68/4/60/252,4.669%,Tapu Koko
1606,Bold,236/0/116/4/12/140,4.289%,Tapu Koko
1607,Timid,4/0/0/252/0/252,2.473%,Tapu Koko
1608,Timid,236/0/52/4/4/212,1.284%,Tapu Koko
1609,Jolly,204/108/12/0/4/180,1.181%,Tapu Koko
1610,Timid,252/0/20/4/92/140,1.059%,Tapu Koko
1611,Adamant,92/252/4/0/12/148,0.768%,Tapu Koko
1612,Jolly,252/0/76/0/0/180,0.727%,Tapu Koko
1613,Timid,244/0/4/4/4/252,0.542%,Tapu Koko
1614,Adamant,108/196/4/0/60/140,0.533%,Tapu Koko
1615,Timid,252/0/4/4/108/140,0.454%,Tapu Koko
1616,Timid,252/0/0/0/4/252,0.438%,Tapu Koko
1617,Timid,100/0/252/0/0/156,0.411%,Tapu Koko
1618,Naive,0/4/0/252/0/252,0.390%,Tapu Koko
1619,Timid,0/0/0/252/0/252,0.358%,Tapu Koko
1620,Jolly,252/0/0/0/4/252,36.319%,Liepard
1621,Jolly,0/12/244/0/0/252,14.783%,Liepard
1622,Jolly,252/0/0/0/44/212,11.196%,Liepard
1623,Hasty,252/20/0/20/4/212,6.173%,Liepard
1624,Jolly,252/0/4/0/0/252,4.627%,Liepard
1625,Timid,252/0/0/4/0/252,4.296%,Liepard
1626,Timid,4/0/0/252/0/252,3.198%,Liepard
1627,Jolly,0/252/0/0/4/252,2.799%,Liepard
1628,Hasty,0/4/0/252/0/252,2.534%,Liepard
1629,Timid,0/0/4/252/0/252,2.528%,Liepard
1630,Jolly,244/4/4/0/4/252,2.283%,Liepard
1631,Naive,0/4/0/252/0/252,1.836%,Liepard
1632,Careful,252/4/4/0/212/36,1.624%,Liepard
1633,Calm,252/0/0/4/252/0,1.448%,Liepard
1634,Hasty,4/0/0/252/0/252,0.952%,Liepard
1635,Bold,252/0/252/0/0/0,0.866%,Liepard
1636,Serious,4/252/0/0/0/252,0.461%,Liepard
1637,Calm,252/0/0/0/252/4,0.266%,Liepard
1638,Timid,0/0/0/252/4/252,0.249%,Liepard
1639,Timid,252/0/0/0/6/252,0.231%,Liepard
1640,Timid,12/0/4/228/12/252,47.555%,Hydreigon
1641,Timid,52/0/0/252/4/196,11.313%,Hydreigon
1642,Modest,252/0/0/252/0/4,10.035%,Hydreigon
1643,Timid,0/0/0/252/4/252,7.509%,Hydreigon
1644,Jolly,0/252/0/0/4/252,4.762%,Hydreigon
1645,Timid,4/0/0/252/0/252,4.539%,Hydreigon
1646,Timid,12/4/4/220/12/252,4.318%,Hydreigon
1647,Timid,0/4/0/252/0/252,3.708%,Hydreigon
1648,Modest,4/0/0/252/0/252,3.374%,Hydreigon
1649,Modest,156/0/0/252/0/100,0.758%,Hydreigon
1650,Modest,252/0/0/252/4/0,0.572%,Hydreigon
1651,Modest,0/0/0/252/4/252,0.383%,Hydreigon
1652,Modest,4/0/4/244/4/252,0.357%,Hydreigon
1653,Timid,36/0/0/252/0/220,0.259%,Hydreigon
1654,Timid,180/0/0/252/0/76,0.153%,Hydreigon
1655,Calm,4/0/108/60/84/252,0.137%,Hydreigon
1656,Timid,52/0/0/252/0/204,0.118%,Hydreigon
1657,Modest,252/0/4/252/0/0,0.043%,Hydreigon
1658,Modest,228/0/0/252/0/28,0.041%,Hydreigon
1659,Hasty,0/4/0/252/0/252,0.036%,Hydreigon
1660,Jolly,4/252/0/0/0/252,59.073%,Weavile
1661,Hasty,0/4/0/252/0/252,26.229%,Weavile
1662,Jolly,0/252/0/0/4/252,6.970%,Weavile
1663,Hasty,252/4/0/0/0/252,2.003%,Weavile
1664,Jolly,0/252/0/0/0/252,1.173%,Weavile
1665,Hasty,252/0/0/4/0/252,1.077%,Weavile
1666,Hasty,0/252/0/4/0/252,0.937%,Weavile
1667,Timid,252/0/4/0/0/252,0.601%,Weavile
1668,Jolly,60/252/0/0/0/196,0.564%,Weavile
1669,Hardy,4/252/0/0/0/252,0.479%,Weavile
1670,Hasty,140/0/0/0/116/252,0.232%,Weavile
1671,Jolly,108/76/68/0/4/252,0.228%,Weavile
1672,Adamant,0/252/4/0/0/252,0.155%,Weavile
1673,Timid,252/0/0/0/4/252,0.126%,Weavile
1674,Jolly,108/76/4/0/4/252,0.039%,Weavile
1675,Jolly,0/252/4/0/0/252,0.027%,Weavile
1676,Adamant,0/252/0/0/0/252,0.025%,Weavile
1677,Adamant,4/252/0/0/0/252,0.021%,Weavile
1678,Adamant,0/252/0/0/52/136,0.016%,Weavile
1679,Timid,4/0/0/252/0/252,0.011%,Weavile
1680,Jolly,4/252/0/0/0/252,24.642%,Tsareena
1681,Adamant,236/84/124/0/36/28,10.615%,Tsareena
1682,Careful,252/0/84/0/172/0,6.656%,Tsareena
1683,Adamant,252/180/0/0/76/0,4.896%,Tsareena
1684,Brave,252/252/0/0/4/0,4.843%,Tsareena
1685,Adamant,68/252/0/0/0/188,4.402%,Tsareena
1686,Adamant,4/252/0/0/0/252,4.344%,Tsareena
1687,Adamant,252/0/92/0/164/0,4.305%,Tsareena
1688,Adamant,252/156/28/0/44/28,3.830%,Tsareena
1689,Adamant,252/4/68/0/180/4,3.544%,Tsareena
1690,Adamant,252/252/0/0/4/0,3.007%,Tsareena
1691,Careful,252/0/252/0/4/0,2.895%,Tsareena
1692,Adamant,100/236/0/0/0/172,2.700%,Tsareena
1693,Adamant,252/252/0/0/0/6,2.295%,Tsareena
1694,Jolly,0/252/0/0/4/252,2.012%,Tsareena
1695,Adamant,196/156/0/0/0/156,1.770%,Tsareena
1696,Adamant,252/76/100/0/60/20,1.497%,Tsareena
1697,Jolly,236/20/0/0/0/252,1.223%,Tsareena
1698,Adamant,0/156/4/0/12/252,1.079%,Tsareena
1699,Adamant,252/4/0/0/252/0,0.701%,Tsareena
1700,Brave,252/244/0/0/12/0,46.712%,Glastrier
1701,Adamant,252/252/0/0/0/4,13.921%,Glastrier
1702,Brave,252/252/0/0/4/0,11.908%,Glastrier
1703,Brave,252/252/4/0/0/0,8.690%,Glastrier
1704,Adamant,252/252/4/0/0/0,6.726%,Glastrier
1705,Adamant,252/196/60/0/0/0,5.178%,Glastrier
1706,Adamant,252/252/0/0/4/0,1.898%,Glastrier
1707,Adamant,252/196/0/0/60/0,1.505%,Glastrier
1708,Adamant,236/252/4/0/4/12,1.104%,Glastrier
1709,Brave,228/252/0/0/28/0,0.830%,Glastrier
1710,Brave,252/196/4/0/52/0,0.389%,Glastrier
1711,Adamant,252/252/0/0/0/0,0.281%,Glastrier
1712,Adamant,252/196/4/0/56/0,0.223%,Glastrier
1713,Hardy,252/252/0/0/4/0,0.122%,Glastrier
1714,Brave,252/252/0/0/0/0,0.112%,Glastrier
1715,Brave,248/252/0/0/8/0,0.099%,Glastrier
1716,Adamant,244/252/0/0/12/0,0.089%,Glastrier
1717,Adamant,100/252/0/0/156/0,0.048%,Glastrier
1718,Brave,204/140/20/0/144/0,0.048%,Glastrier
1719,Brave,180/252/76/0/0/0,0.029%,Glastrier
1720,Brave,252/252/4/0/0/0,27.880%,Dracovish
1721,Adamant,252/252/0/0/4/0,18.444%,Dracovish
1722,Brave,252/252/0/0/4/0,13.824%,Dracovish
1723,Jolly,0/252/0/0/4/252,10.735%,Dracovish
1724,Adamant,0/252/0/0/4/252,9.387%,Dracovish
1725,Adamant,0/252/68/0/72/116,8.081%,Dracovish
1726,Adamant,4/252/0/0/0/252,4.283%,Dracovish
1727,Jolly,4/252/0/0/0/252,1.878%,Dracovish
1728,Careful,4/252/0/0/0/252,1.059%,Dracovish
1729,Adamant,0/252/0/0/0/252,1.017%,Dracovish
1730,Brave,0/252/92/0/164/0,0.871%,Dracovish
1731,Hasty,0/244/0/0/12/252,0.722%,Dracovish
1732,Jolly,0/252/4/0/0/252,0.543%,Dracovish
1733,Jolly,52/132/92/0/116/116,0.331%,Dracovish
1734,Adamant,0/252/4/0/252/0,0.234%,Dracovish
1735,Adamant,128/252/124/0/0/0,0.113%,Dracovish
1736,Jolly,0/252/0/0/0/252,0.092%,Dracovish
1737,Jolly,0/248/0/0/8/252,0.059%,Dracovish
1738,Adamant,0/252/4/0/0/252,0.047%,Dracovish
1739,Timid,0/252/4/0/0/252,0.046%,Dracovish
1740,Timid,0/0/0/252/4/252,33.439%,Regidrago
1741,Modest,0/0/0/252/4/252,24.147%,Regidrago
1742,Timid,4/0/0/252/0/252,23.981%,Regidrago
1743,Modest,4/0/0/252/0/252,8.526%,Regidrago
1744,Naughty,28/252/4/116/0/108,3.106%,Regidrago
1745,Timid,4/0/20/252/20/212,2.472%,Regidrago
1746,Modest,252/0/0/252/0/4,1.307%,Regidrago
1747,Modest,20/0/124/252/20/92,1.227%,Regidrago
1748,Timid,12/0/12/252/12/220,0.520%,Regidrago
1749,Hasty,0/4/0/252/0/252,0.298%,Regidrago
1750,Quiet,0/0/252/252/4/0,0.206%,Regidrago
1751,Mild,4/0/0/252/0/252,0.187%,Regidrago
1752,Quiet,0/0/252/252/0/0,0.138%,Regidrago
1753,Timid,36/0/0/252/0/220,0.102%,Regidrago
1754,Modest,0/0/124/252/132/0,0.086%,Regidrago
1755,Quiet,248/4/0/252/0/0,0.073%,Regidrago
1756,Jolly,4/0/0/252/0/252,0.048%,Regidrago
1757,Timid,6/0/0/252/0/252,0.043%,Regidrago
1758,Modest,252/0/0/252/4/0,0.034%,Regidrago
1759,Timid,0/0/4/252/0/252,0.022%,Regidrago
1760,Careful,252/0/140/0/116/0,30.418%,Hitmontop
1761,Careful,252/0/52/0/204/0,19.279%,Hitmontop
1762,Adamant,252/252/0/0/4/0,19.233%,Hitmontop
1763,Careful,252/12/132/0/108/4,8.488%,Hitmontop
1764,Impish,252/0/140/0/116/0,3.945%,Hitmontop
1765,Careful,252/0/116/0/140/0,3.488%,Hitmontop
1766,Careful,252/4/0/0/252/0,2.660%,Hitmontop
1767,Hardy,204/84/76/0/92/48,1.218%,Hitmontop
1768,Impish,252/0/252/0/4/0,0.907%,Hitmontop
1769,Careful,252/0/252/0/4/0,0.864%,Hitmontop
1770,Careful,252/0/4/0/252/0,0.715%,Hitmontop
1771,Impish,252/252/0/0/0/4,0.711%,Hitmontop
1772,Careful,252/44/92/0/116/4,0.644%,Hitmontop
1773,Adamant,220/196/4/0/60/28,0.638%,Hitmontop
1774,Careful,252/0/44/0/212/0,0.479%,Hitmontop
1775,Brave,252/252/0/0/4/0,0.472%,Hitmontop
1776,Jolly,4/252/0/0/0/252,0.376%,Hitmontop
1777,Adamant,244/28/60/0/132/44,0.357%,Hitmontop
1778,Adamant,220/0/140/0/144/0,0.334%,Hitmontop
1779,Jolly,252/0/0/0/4/252,0.333%,Hitmontop
1780,Jolly,4/252/0/0/0/252,40.508%,Darmanitan Galarian Standard Mode
1781,Jolly,36/252/0/0/0/220,35.950%,Darmanitan Galarian Standard Mode
1782,Adamant,4/252/0/0/0/252,13.922%,Darmanitan Galarian Standard Mode
1783,Jolly,0/252/0/0/4/252,6.385%,Darmanitan Galarian Standard Mode
1784,Jolly,0/0/0/252/4/252,2.162%,Darmanitan Galarian Standard Mode
1785,Jolly,20/252/4/0/4/228,0.592%,Darmanitan Galarian Standard Mode
1786,Jolly,92/252/0/0/0/164,0.151%,Darmanitan Galarian Standard Mode
1787,Hardy,0/252/0/0/0/252,0.118%,Darmanitan Galarian Standard Mode
1788,Adamant,0/252/0/0/4/252,0.048%,Darmanitan Galarian Standard Mode
1789,Jolly,0/252/4/0/0/252,0.032%,Darmanitan Galarian Standard Mode
1790,Jolly,4/248/0/0/0/252,0.028%,Darmanitan Galarian Standard Mode
1791,Hardy,52/252/0/0/0/172,0.022%,Darmanitan Galarian Standard Mode
1792,Jolly,0/252/0/0/0/252,0.016%,Darmanitan Galarian Standard Mode
1793,Hardy,252/252/0/0/0/4,0.016%,Darmanitan Galarian Standard Mode
1794,Adamant,0/252/0/0/0/252,0.011%,Darmanitan Galarian Standard Mode
1795,Hardy,4/252/0/0/0/252,0.009%,Darmanitan Galarian Standard Mode
1796,Adamant,12/244/20/0/4/228,0.007%,Darmanitan Galarian Standard Mode
1797,Naive,0/248/0/0/0/252,0.005%,Darmanitan Galarian Standard Mode
1798,Jolly,140/252/0/0/0/116,0.005%,Darmanitan Galarian Standard Mode
1799,Hardy,12/244/20/0/4/228,0.004%,Darmanitan Galarian Standard Mode
1800,Modest,156/0/4/252/76/20,30.149%,Zekrom
1801,Jolly,4/252/0/0/0/252,7.720%,Zekrom
1802,Bold,252/0/0/0/52/0,7.259%,Zekrom
1803,Adamant,124/156/28/0/4/196,6.345%,Zekrom
1804,Quiet,252/0/0/252/4/0,5.926%,Zekrom
1805,Jolly,0/252/0/0/4/252,4.661%,Zekrom
1806,Adamant,228/252/0/0/4/20,3.763%,Zekrom
1807,Modest,124/0/36/236/76/36,3.186%,Zekrom
1808,Quiet,196/76/0/236/0/0,3.061%,Zekrom
1809,Adamant,12/236/4/0/4/252,3.061%,Zekrom
1810,Timid,4/0/0/252/0/252,2.848%,Zekrom
1811,Bold,252/0/0/204/52/0,2.385%,Zekrom
1812,Timid,68/0/4/220/4/212,1.463%,Zekrom
1813,Modest,180/0/0/252/76/0,1.175%,Zekrom
1814,Modest,240/0/0/100/100/68,1.123%,Zekrom
1815,Modest,252/0/0/172/0/84,0.939%,Zekrom
1816,Adamant,156/248/4/0/76/20,0.911%,Zekrom
1817,Modest,236/0/0/252/0/20,0.887%,Zekrom
1818,Timid,0/0/0/252/4/252,0.855%,Zekrom
1819,Hardy,252/4/0/0/0/252,0.765%,Zekrom
1820,Relaxed,4/0/252/0/252/0,42.032%,Shuckle
1821,Bold,4/0/252/0/252/0,38.585%,Shuckle
1822,Relaxed,252/0/252/0/4/0,11.528%,Shuckle
1823,Calm,252/0/252/0/4/0,1.881%,Shuckle
1824,Bold,252/0/252/0/4/0,1.409%,Shuckle
1825,Calm,252/0/156/0/100/0,1.163%,Shuckle
1826,Relaxed,244/0/252/0/12/0,1.044%,Shuckle
1827,Calm,252/0/4/0/252/0,0.958%,Shuckle
1828,Bold,252/0/132/0/124/0,0.945%,Shuckle
1829,Bold,252/0/252/4/0/0,0.190%,Shuckle
1830,Bold,252/0/0/0/252/0,0.127%,Shuckle
1831,Impish,0/0/252/0/252/0,0.044%,Shuckle
1832,Bold,252/0/180/0/76/0,0.038%,Shuckle
1833,Careful,252/0/196/0/56/0,0.023%,Shuckle
1834,Relaxed,252/0/124/0/132/0,0.007%,Shuckle
1835,Hardy,0/248/0/252/0/8,0.006%,Shuckle
1836,Hardy,252/0/124/0/128/0,0.005%,Shuckle
1837,Sassy,252/0/4/0/252/0,0.004%,Shuckle
1838,Relaxed,252/0/0/0/252/0,0.002%,Shuckle
1839,Hardy,0/0/252/0/252/0,0.002%,Shuckle
1840,Jolly,0/252/0/0/4/252,43.262%,Galarian Zapdos
1841,Adamant,244/148/92/0/12/12,25.725%,Galarian Zapdos
1842,Jolly,4/252/0/0/0/252,6.398%,Galarian Zapdos
1843,Adamant,252/116/92/0/12/36,5.811%,Galarian Zapdos
1844,Adamant,28/252/0/0/0/228,4.091%,Galarian Zapdos
1845,Adamant,4/252/0/0/0/252,3.475%,Galarian Zapdos
1846,Adamant,68/196/4/0/4/236,3.125%,Galarian Zapdos
1847,Adamant,20/252/4/0/4/228,1.390%,Galarian Zapdos
1848,Adamant,12/252/4/0/4/236,1.244%,Galarian Zapdos
1849,Jolly,20/248/0/0/4/236,0.907%,Galarian Zapdos
1850,Jolly,24/252/0/0/0/232,0.760%,Galarian Zapdos
1851,Jolly,76/180/0/0/0/252,0.532%,Galarian Zapdos
1852,Jolly,204/36/4/0/12/252,0.525%,Galarian Zapdos
1853,Jolly,252/20/0/0/0/236,0.506%,Galarian Zapdos
1854,Jolly,0/252/0/0/6/252,0.417%,Galarian Zapdos
1855,Jolly,44/164/4/0/44/252,0.371%,Galarian Zapdos
1856,Adamant,220/148/4/0/132/4,0.225%,Galarian Zapdos
1857,Jolly,252/0/0/0/4/252,0.202%,Galarian Zapdos
1858,Jolly,116/156/0/0/0/236,0.196%,Galarian Zapdos
1859,Adamant,0/252/0/0/4/252,0.163%,Galarian Zapdos
1860,Timid,252/0/4/0/0/252,32.043%,Volcarona
1861,Bold,244/0/220/0/0/44,22.744%,Volcarona
1862,Timid,4/0/0/252/0/252,13.660%,Volcarona
1863,Timid,0/0/0/252/4/252,4.727%,Volcarona
1864,Timid,252/0/0/4/0/252,3.407%,Volcarona
1865,Modest,188/0/236/76/4/4,2.631%,Volcarona
1866,Modest,188/0/52/36/4/228,1.991%,Volcarona
1867,Timid,180/0/4/68/4/252,1.478%,Volcarona
1868,Timid,156/0/140/12/4/196,1.239%,Volcarona
1869,Modest,204/0/60/4/4/236,1.167%,Volcarona
1870,Serious,252/0/252/0/4/0,1.141%,Volcarona
1871,Bold,252/0/228/0/28/0,1.093%,Volcarona
1872,Bold,200/0/228/68/12/0,1.074%,Volcarona
1873,Calm,252/0/0/0/252/4,0.825%,Volcarona
1874,Bold,252/0/252/0/4/0,0.773%,Volcarona
1875,Bold,244/0/244/0/20/0,0.691%,Volcarona
1876,Bold,252/0/252/0/0/0,0.580%,Volcarona
1877,Timid,248/0/156/16/0/88,0.538%,Volcarona
1878,Timid,244/0/4/4/4/252,0.529%,Volcarona
1879,Calm,244/0/212/12/36/4,0.505%,Volcarona
1880,Impish,252/0/252/0/4/0,46.103%,Meowstic Male
1881,Calm,252/0/180/4/68/4,13.506%,Meowstic Male
1882,Careful,252/4/0/0/252/0,7.820%,Meowstic Male
1883,Calm,252/0/4/0/252/0,7.607%,Meowstic Male
1884,Careful,252/0/100/0/152/4,3.372%,Meowstic Male
1885,Impish,252/0/140/0/116/0,3.123%,Meowstic Male
1886,Calm,4/0/252/0/252/0,2.283%,Meowstic Male
1887,Modest,0/0/124/252/128/0,2.152%,Meowstic Male
1888,Bold,252/0/252/0/4/0,1.271%,Meowstic Male
1889,Calm,252/0/0/4/252/0,1.226%,Meowstic Male
1890,Relaxed,252/0/156/0/96/0,1.217%,Meowstic Male
1891,Careful,248/8/0/0/252/0,1.094%,Meowstic Male
1892,Calm,252/0/100/0/152/4,1.042%,Meowstic Male
1893,Calm,244/1/92/60/108/5,0.979%,Meowstic Male
1894,Calm,252/0/100/0/148/4,0.940%,Meowstic Male
1895,Impish,244/0/148/0/116/0,0.893%,Meowstic Male
1896,Bold,244/0/148/0/116/0,0.880%,Meowstic Male
1897,Impish,252/0/0/0/0/0,0.871%,Meowstic Male
1898,Timid,248/0/0/8/0/252,0.607%,Meowstic Male
1899,Jolly,252/4/140/0/100/12,0.569%,Meowstic Male
1900,Timid,148/0/108/0/0/252,69.876%,Alolan Persian
1901,Jolly,252/0/0/0/4/252,4.481%,Alolan Persian
1902,Timid,116/0/140/0/0/252,4.157%,Alolan Persian
1903,Timid,92/0/156/4/4/252,3.141%,Alolan Persian
1904,Impish,252/0/252/0/4/0,2.712%,Alolan Persian
1905,Timid,244/0/28/0/0/236,1.979%,Alolan Persian
1906,Jolly,116/0/0/0/140/252,1.703%,Alolan Persian
1907,Timid,252/0/0/0/4/252,1.668%,Alolan Persian
1908,Timid,116/0/0/0/140/252,1.614%,Alolan Persian
1909,Timid,252/0/20/4/4/228,1.603%,Alolan Persian
1910,Jolly,128/28/0/0/0/252,1.550%,Alolan Persian
1911,Hasty,252/4/0/0/0/252,1.397%,Alolan Persian
1912,Timid,252/0/0/0/0/252,1.090%,Alolan Persian
1913,Calm,252/0/124/0/72/56,0.676%,Alolan Persian
1914,Timid,252/0/4/0/0/252,0.547%,Alolan Persian
1915,Timid,228/0/28/0/0/252,0.537%,Alolan Persian
1916,Jolly,252/4/0/0/0/252,0.272%,Alolan Persian
1917,Timid,252/0/0/4/0/252,0.258%,Alolan Persian
1918,Hardy,252/0/4/0/0/252,0.180%,Alolan Persian
1919,Jolly,244/0/28/0/0/236,0.158%,Alolan Persian
1920,Sassy,244/0/252/0/12/0,31.378%,Snorlax
1921,Brave,20/236/252/0/0/0,14.871%,Snorlax
1922,Adamant,244/76/164/0/4/20,10.701%,Snorlax
1923,Brave,244/252/0/0/12/0,6.047%,Snorlax
1924,Adamant,156/76/252/0/12/12,5.102%,Snorlax
1925,Brave,180/76/252/0/0/0,4.667%,Snorlax
1926,Brave,36/252/220/0/0/0,3.422%,Snorlax
1927,Adamant,244/252/0/0/12/0,3.408%,Snorlax
1928,Impish,172/0/252/0/84/0,2.900%,Snorlax
1929,Adamant,48/252/204/0/0/4,2.812%,Snorlax
1930,Sassy,252/0/60/0/196/0,2.422%,Snorlax
1931,Careful,196/4/252/0/36/20,1.900%,Snorlax
1932,Adamant,252/252/4/0/0/0,1.461%,Snorlax
1933,Brave,244/252/12/0/0/0,1.412%,Snorlax
1934,Adamant,148/156/140/0/12/52,1.227%,Snorlax
1935,Brave,248/252/0/0/8/0,0.891%,Snorlax
1936,Sassy,228/0/212/0/68/0,0.741%,Snorlax
1937,Brave,252/0/108/0/148/0,0.612%,Snorlax
1938,Sassy,164/60/252/0/28/0,0.439%,Snorlax
1939,Careful,128/128/0/0/252/0,0.413%,Snorlax
1940,Lonely,252/252/0/0/4/0,26.966%,Stakataka
1941,Brave,244/252/0/0/12/0,16.446%,Stakataka
1942,Brave,252/252/0/0/4/0,10.381%,Stakataka
1943,Brave,252/244/12/0/0/0,9.712%,Stakataka
1944,Relaxed,252/0/252/0/4/0,8.733%,Stakataka
1945,Brave,252/252/4/0/0/0,6.320%,Stakataka
1946,Lonely,244/252/0/0/12/0,4.411%,Stakataka
1947,Adamant,4/252/252/0/0/0,2.371%,Stakataka
1948,Lonely,252/252/0/4/0/0,1.978%,Stakataka
1949,Sassy,244/12/0/0/252/0,1.373%,Stakataka
1950,Sassy,252/0/28/0/228/0,1.236%,Stakataka
1951,Relaxed,244/12/252/0/0/0,1.004%,Stakataka
1952,Relaxed,252/4/252/0/0/0,0.935%,Stakataka
1953,Relaxed,252/0/4/0/252/0,0.931%,Stakataka
1954,Sassy,252/0/4/0/252/0,0.816%,Stakataka
1955,Relaxed,252/0/252/0/0/0,0.814%,Stakataka
1956,Brave,252/252/0/0/0/0,0.559%,Stakataka
1957,Sassy,252/4/0/0/252/0,0.530%,Stakataka
1958,Brave,244/12/0/0/252/0,0.465%,Stakataka
1959,Brave,236/252/0/0/20/0,0.347%,Stakataka
1960,Naive,0/4/0/252/0/252,39.300%,Thundurus Therian Forme
1961,Timid,0/0/0/252/4/252,28.500%,Thundurus Therian Forme
1962,Timid,4/0/0/252/0/252,8.778%,Thundurus Therian Forme
1963,Timid,4/0/4/244/4/252,5.642%,Thundurus Therian Forme
1964,Timid,36/0/4/212/4/252,4.005%,Thundurus Therian Forme
1965,Timid,148/0/12/92/4/252,2.217%,Thundurus Therian Forme
1966,Modest,252/0/108/108/12/28,2.139%,Thundurus Therian Forme
1967,Timid,36/0/0/220/0/252,2.092%,Thundurus Therian Forme
1968,Modest,236/0/116/4/4/148,1.623%,Thundurus Therian Forme
1969,Modest,164/0/4/44/76/220,1.185%,Thundurus Therian Forme
1970,Timid,252/0/204/0/12/40,0.822%,Thundurus Therian Forme
1971,Modest,212/0/0/252/0/44,0.804%,Thundurus Therian Forme
1972,Timid,164/0/0/92/0/252,0.728%,Thundurus Therian Forme
1973,Hasty,0/4/0/252/0/252,0.534%,Thundurus Therian Forme
1974,Timid,244/0/0/84/0/180,0.427%,Thundurus Therian Forme
1975,Hardy,204/0/4/132/28/140,0.322%,Thundurus Therian Forme
1976,Modest,84/0/84/36/76/228,0.315%,Thundurus Therian Forme
1977,Modest,52/0/4/196/4/252,0.172%,Thundurus Therian Forme
1978,Modest,0/0/4/252/0/252,0.143%,Thundurus Therian Forme
1979,Modest,0/0/0/252/4/252,0.086%,Thundurus Therian Forme
1980,Timid,0/0/0/252/4/252,17.113%,Galarian Moltres
1981,Timid,4/0/0/252/0/252,13.142%,Galarian Moltres
1982,Modest,172/0/4/252/4/76,8.319%,Galarian Moltres
1983,Modest,28/0/4/252/4/220,7.479%,Galarian Moltres
1984,Timid,244/0/4/4/4/252,6.734%,Galarian Moltres
1985,Timid,76/0/180/0/0/252,6.244%,Galarian Moltres
1986,Bold,252/0/156/76/4/20,4.998%,Galarian Moltres
1987,Calm,252/0/0/100/156/0,4.688%,Galarian Moltres
1988,Modest,204/0/4/156/4/140,3.986%,Galarian Moltres
1989,Modest,252/0/124/0/0/132,3.713%,Galarian Moltres
1990,Modest,252/0/164/60/20/12,3.615%,Galarian Moltres
1991,Bold,252/0/0/252/0/4,3.330%,Galarian Moltres
1992,Modest,252/0/4/252/0/0,1.967%,Galarian Moltres
1993,Bold,252/0/156/0/100/0,1.859%,Galarian Moltres
1994,Modest,188/0/44/76/4/196,1.537%,Galarian Moltres
1995,Modest,252/0/0/252/4/0,1.465%,Galarian Moltres
1996,Hasty,0/4/0/252/0/252,1.041%,Galarian Moltres
1997,Modest,116/0/0/140/0/252,0.979%,Galarian Moltres
1998,Timid,0/0/4/252/0/252,0.711%,Galarian Moltres
1999,Timid,0/4/0/252/0/252,0.596%,Galarian Moltres
2000,Jolly,4/252/0/0/0/252,52.694%,Talonflame
2001,Timid,252/0/0/108/0/148,15.286%,Talonflame
2002,Jolly,0/252/0/0/4/252,11.115%,Talonflame
2003,Jolly,0/252/4/0/0/252,6.047%,Talonflame
2004,Timid,252/0/0/4/0/252,3.694%,Talonflame
2005,Jolly,76/252/0/0/0/180,2.615%,Talonflame
2006,Jolly,252/4/0/0/0/252,1.618%,Talonflame
2007,Timid,172/0/68/84/4/180,1.088%,Talonflame
2008,Jolly,0/252/0/0/4/204,0.772%,Talonflame
2009,Modest,252/0/0/252/0/4,0.608%,Talonflame
2010,Timid,52/0/0/252/12/188,0.517%,Talonflame
2011,Adamant,4/252/0/0/0/252,0.505%,Talonflame
2012,Jolly,0/252/0/4/0/252,0.488%,Talonflame
2013,Jolly,252/76/0/0/0/180,0.428%,Talonflame
2014,Timid,252/0/0/0/4/252,0.310%,Talonflame
2015,Jolly,252/0/0/0/4/252,0.297%,Talonflame
2016,Naive,252/4/0/0/0/252,0.262%,Talonflame
2017,Adamant,0/252/0/0/4/252,0.254%,Talonflame
2018,Jolly,12/252/0/0/0/244,0.230%,Talonflame
2019,Timid,0/0/0/252/4/252,0.226%,Talonflame
2020,Bold,252/0/164/0/92/0,32.837%,Milotic
2021,Bold,252/0/172/84/0/0,6.353%,Milotic
2022,Calm,252/0/252/0/4/0,5.950%,Milotic
2023,Modest,164/0/124/220/0/0,5.297%,Milotic
2024,Modest,92/0/100/148/0/164,4.989%,Milotic
2025,Bold,252/0/252/4/0/0,4.436%,Milotic
2026,Quiet,244/0/172/84/4/0,3.422%,Milotic
2027,Modest,252/0/0/252/4/0,3.036%,Milotic
2028,Calm,252/0/76/24/156/0,2.852%,Milotic
2029,Calm,252/0/116/36/76/28,2.681%,Milotic
